writer, episode_code,gender
Judd Apatow,TABF05,m
Richard Appel,3F06,m
Richard Appel,3F17,m
Richard Appel,3F18,m
Richard Appel,4F06,m
Richard Appel,4F21,m
Richard Appel,5F04,m
Richard Appel,5F19,m
Gary Apple,9F09,m
Jack Barth,3F15,m
Bob Bendetson,CABF17,m
Bob Bendetson,DABF10,m
Dick Blasucci,NABF12,m
Neal Boushell,EABF06,m
J. Stewart Burns,EABF17,m
J. Stewart Burns,FABF13,m
J. Stewart Burns,GABF04,m
J. Stewart Burns,HABF14,m
J. Stewart Burns,JABF06,m
J. Stewart Burns,JABF10,m
J. Stewart Burns,KABF02,m
J. Stewart Burns,LABF10,m
J. Stewart Burns,NABF15,m
J. Stewart Burns,PABF04,m
J. Stewart Burns,RABF08,m
J. Stewart Burns,SABF05,m
J. Stewart Burns,SABF13,m
J. Stewart Burns,SABF16,m
Neil Campbell,TABF04,m
Bill Canterbury,1F03,m
Bill Canterbury,1F04,m
Michael Carrington,9F09,m
Donick Cary,4F18,m
Donick Cary,5F03,m
Donick Cary,5F10,m
Donick Cary,AABF01,m
Donick Cary,AABF02,m
Donick Cary,AABF20,m
Donick Cary,BABF01,m
Dan Castellaneta,BABF14,m
Dan Castellaneta,DABF12,m
Dan Castellaneta,FABF08,m
Dan Castellaneta,HABF10,m
Dan Castellaneta,MABF22,m
Dan Castellaneta,NABF09,m
Dan Castellaneta,PABF02,m
David Chambers,FABF07,m
Julie Chambers,FABF07,f
Thomas Chastain,8F20,m
Daniel Chun,GABF20,m
Daniel Chun,HABF18,m
Daniel Chun,HABF21,m
Daniel Chun,JABF08,m
Daniel Chun,KABF11,m
Daniel Chun,LABF14,m
Chris Cluess,MABF19,m
David X. Cohen,2F03,m
David X. Cohen,3F03,m
David X. Cohen,3F04,m
David X. Cohen,3F18,m
David X. Cohen,3F20,m
David X. Cohen,4F02,m
David X. Cohen,4F12,m
David X. Cohen,4F20,m
David X. Cohen,5F02,m
David X. Cohen,5F05,m
David X. Cohen,5F11,m
David X. Cohen,5F22,m
David X. Cohen,AABF01,m
Joel H. Cohen,CABF19,m
Joel H. Cohen,DABF01,m
